Sample	Number_Read	Number_Mapped_Read	Number_Mapped_Converted_Read	Number_Mapped_Converted_40mapq_Read	Methylation_CpG	Methylation_nonCpG
001-A1-2531	1819191 	1819191 	1818144 	1608751 	27.3%	0.4%
002-B1-930	1945045 	1945045 	1944631 	1700787 	43.7%	0.7%
003-C1-2184	2274711 	2274711 	2274395 	1992653 	45.2%	0.5%
004-D1-1814	2153879 	2153879 	2153309 	1889614 	44.6%	0.5%
005-E1-539	2093042 	2093042 	2092858 	1852051 	25.0%	0.5%
006-F1-1607	2129480 	2129480 	2129298 	1872781 	51.5%	0.5%
007-G1-2467	2129099 	2129099 	2128869 	1868322 	37.5%	0.6%
008-H1-1622	1348838 	1348838 	1348695 	1187130 	44.1%	0.6%
009-A2-1962	2143503 	2143503 	2143280 	1883894 	31.4%	0.5%
010-B2-1398	1796095 	1796095 	1795848 	1580163 	37.2%	0.6%
011-C2-2265	2232286 	2232286 	2232002 	1945145 	22.7%	0.5%
012-D2-1608	2310774 	2310774 	2310607 	2024900 	33.3%	0.5%
013-E2-2124	2003106 	2003106 	2002781 	1763529 	20.7%	0.4%
014-F2-1366	2154857 	2154857 	2154662 	1892429 	22.1%	0.4%
015-G2-2649	2087885 	2087885 	2087728 	1843012 	16.6%	0.4%
016-H2-1314	2860349 	2860349 	2860011 	2535635 	11.5%	0.6%
017-A3-1393	2456567 	2456567 	2456117 	2165482 	62.1%	0.5%
018-B3-2148	2229703 	2229703 	2229108 	1965742 	24.5%	0.4%
019-C3-948	1830752 	1830752 	1830605 	1621998 	24.1%	0.3%
020-D3-2387	2209566 	2209566 	2209189 	1925454 	48.8%	0.6%
021-E3-903	2033187 	2033187 	2032593 	1793546 	22.7%	0.5%
022-F3-2398	2148158 	2148158 	2147850 	1806754 	42.6%	0.4%
023-G3-1747	2327154 	2327154 	2326455 	2028205 	13.9%	0.5%
024-H3-2109	2156678 	2156678 	2156524 	1894956 	38.2%	0.5%
025-A4-2427	2172280 	2172280 	2172163 	1908488 	34.5%	0.6%
026-B4-1767	2337170 	2337170 	2336968 	2042029 	20.5%	0.6%
027-C4-2520	2238364 	2238364 	2238182 	1966402 	27.5%	0.5%
028-D4-1895	2152343 	2152343 	2152143 	1893329 	37.4%	0.5%
029-E4-993	2173464 	2173464 	2172752 	1909763 	48.6%	0.6%
030-F4-1721	1898256 	1898256 	1897612 	1675167 	49.2%	0.6%
031-G4-1220	2070691 	2070691 	2070251 	1811645 	58.3%	0.6%
032-H4-2560	1941634 	1941634 	1941426 	1707545 	53.5%	0.5%
033-A5-1365	2166939 	2166939 	2166476 	1897875 	59.0%	0.6%
034-B5-1217	2137791 	2137791 	2137633 	1885260 	24.6%	0.5%
035-C5-2349	2119143 	2119143 	2118178 	1874908 	32.3%	0.6%
036-D5-1650	2111152 	2111152 	2110575 	1845341 	38.2%	0.5%
037-E5-1342	2354476 	2354476 	2354179 	2050836 	55.4%	0.5%
038-F5-462	2366696 	2366696 	2365260 	2076343 	50.2%	0.6%
039-G5-2288	2271199 	2271199 	2270669 	2001720 	27.9%	0.5%
040-H5-996	2243715 	2243715 	2243209 	1962980 	35.5%	0.6%
041-A6-2272	2165173 	2165173 	2164910 	1905916 	31.1%	0.5%
042-B6-2128	1696145 	1696145 	1696086 	1499148 	15.0%	0.4%
043-C6-579	2101171 	2101171 	2101029 	1852614 	41.2%	0.5%
044-D6-1618	2393719 	2393719 	2393361 	2088225 	46.4%	0.7%
045-E6-1923	2387948 	2387948 	2387795 	2101620 	35.3%	0.4%
046-F6-1362	2535933 	2535933 	2535386 	2209319 	12.1%	0.6%
047-G6-584	2307577 	2307577 	2307342 	2027858 	17.0%	0.4%
048-H6-1275	2179943 	2179943 	2179343 	1912275 	30.7%	0.4%
049-A7-1616	2362837 	2362837 	2362560 	2062065 	22.9%	0.6%
050-B7-2091	2263968 	2263968 	2263286 	1997259 	18.0%	0.6%
051-C7-2011	2428533 	2428533 	2426321 	2125956 	44.8%	0.5%
052-D7-2497	1935670 	1935670 	1935111 	1700096 	31.4%	0.4%
053-E7-529	1896091 	1896091 	1895832 	1663871 	13.5%	0.4%
054-F7-982	2170492 	2170492 	2170322 	1907505 	32.4%	0.5%
055-G7-1908	2075601 	2075601 	2075042 	1821758 	26.8%	0.5%
056-H7-1823	2164856 	2164856 	2164608 	1904373 	26.7%	0.5%
057-A8-997	1790688 	1790688 	1790598 	1574133 	40.3%	0.4%
058-B8-1617	1828920 	1828920 	1828586 	1598294 	27.1%	0.5%
059-C8-1606	2566420 	2566420 	2566019 	2241262 	24.6%	0.6%
060-D8-2465	2037833 	2037833 	2037582 	1786600 	40.1%	0.5%
