"Sample"	"Number Read"	"Mapped Read (%)"	"Mapped converted (%)"	"Mapped converted 40mapq (%)"	"Methylation CpG (%)"	"Methylation nonCpG (%)"	"Depth of CpG (X)"	"Depth of CpG with full read (X)"	"No. CpG dropout"	"No. Amplicon dropout"	"No. CpG dropout with full read"	"No. Amplicon dropout with full read"
"001-A1-1824"	2228733	100	100	87.73	"20.6"	"0.3"	109785.33	107265.78	"0/113"	"0/18"	"0/114"	"0/18"
"002-B1-954"	2292119	100	99.98	87.42	"21.3"	"0.4"	112580.83	110067.11	"0/113"	"0/18"	"0/114"	"0/18"
"003-C1-1912"	2267683	100	99.97	86.99	"21.1"	"0.6"	111673.61	108287.61	"0/113"	"0/18"	"0/114"	"0/18"
"004-D1-1757"	1657672	100	99.99	87.13	"16.4"	"0.5"	81476.94	79341.22	"0/113"	"0/18"	"0/114"	"0/18"
"005-E1-2477"	2695607	100	99.99	87.93	"30.1"	"0.5"	133770.33	130343.11	"0/113"	"0/18"	"0/114"	"0/18"
"006-F1-1436"	2342140	100	99.99	86.99	"29.8"	"0.4"	114098.06	111518.39	"0/113"	"0/18"	"0/114"	"0/18"
"007-G1-1755"	1802619	100	99.99	87.17	"51.9"	"0.5"	89419.56	86115.72	"0/113"	"0/18"	"0/114"	"0/18"
"008-H1-1954"	2190787	100	99.99	86.64	"30.4"	"0.5"	107438.17	103901.94	"0/113"	"0/18"	"0/114"	"0/18"
"009-A2-1439"	1966360	100	99.99	87.66	"34.7"	"0.4"	96200.78	94541.78	"0/113"	"0/18"	"0/114"	"0/18"
"010-B2-1963"	1839678	100	99.99	87.22	"51.9"	"0.5"	90459.89	88143.78	"0/113"	"0/18"	"0/114"	"0/18"
"011-C2-1219"	1835481	100	99.97	87.07	"25.9"	"0.6"	89881.28	87750.56	"0/113"	"0/18"	"0/114"	"0/18"
"012-D2-1924"	2098673	100	99.98	87.16	"31.7"	"0.5"	103198.78	100481.11	"0/113"	"0/18"	"0/114"	"0/18"
"013-E2-1261"	2501652	100	99.96	87.18	"22.9"	"0.5"	122768.67	119952.56	"0/113"	"0/18"	"0/114"	"0/18"
"014-F2-2074"	1853314	100	100	87.7	"16.7"	"0.3"	90839	89257.89	"0/113"	"0/18"	"0/114"	"0/18"
"015-G2-2010"	1513521	100	99.99	87.75	"20.6"	"0.5"	74207.83	72962.56	"0/113"	"0/18"	"0/114"	"0/18"
"016-H2-1274"	1961076	100	99.99	87.61	"11.1"	"0.4"	96311.78	94425.11	"0/113"	"0/18"	"0/114"	"0/18"
"017-A3-1927"	2674094	100	99.99	86.61	"25.6"	"0.6"	130886.56	126999.44	"0/113"	"0/18"	"0/114"	"0/18"
"018-B3-1309"	2547303	100	99.99	86.64	"23.7"	"0.6"	124811.06	121096.72	"0/113"	"0/18"	"0/114"	"0/18"
"019-C3-956"	2544921	100	99.98	87.17	"27.6"	"0.5"	124575.89	121703.89	"0/113"	"0/18"	"0/114"	"0/18"
"020-D3-1712"	2548486	100	99.99	87.03	"6.0"	"0.5"	124797.67	121741.17	"0/113"	"0/18"	"0/114"	"0/18"
"021-E3-565"	1807971	100	99.99	86.55	"32.8"	"0.5"	88419.94	85913.5	"0/113"	"0/18"	"0/114"	"0/18"
"022-F3-593"	2493812	100	100	88.19	"13.7"	"0.4"	123268.06	120654.44	"0/113"	"0/18"	"0/114"	"0/18"
"023-G3-1857"	2094064	100	99.99	87.16	"28.5"	"0.4"	103236.39	100274.22	"0/113"	"0/18"	"0/114"	"0/18"
"024-H3-995"	895510	100	99.99	88.04	"45.4"	"0.4"	44533.28	43349.22	"0/113"	"0/18"	"0/114"	"0/18"
"025-A4-1831"	2821547	100	99.99	88.05	"27.7"	"0.6"	140350.78	136458.67	"0/113"	"0/18"	"0/114"	"0/18"
"026-B4-896"	1788329	100	99.97	86.35	"38.2"	"0.6"	87125	84812.28	"0/113"	"0/18"	"0/114"	"0/18"
"027-C4-2481"	2367819	100	99.99	87.75	"16.5"	"0.4"	117152.56	114268.11	"0/113"	"0/18"	"0/114"	"0/18"
"028-D4-491"	1570565	100	99.99	86.91	"30.5"	"0.5"	76828.56	74833.39	"0/113"	"0/18"	"0/114"	"0/18"
"029-E4-2271"	1476896	100	99.97	87.83	"20.6"	"0.5"	73145.56	71172.61	"0/113"	"0/18"	"0/114"	"0/18"
