Extract Name	Comment [TCGA Barcode]	Protocol REF	Labeled Extract Name	Label	Term Source REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Comment [Genome reference]
a46bce31-23b2-4cc4-bd71-564a224e1335	TCGA-G9-6338-01A-12D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	6285609054_R03C01_Grn.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-G9-6338-01A-12D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-G9-6338-01A-12D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
a46bce31-23b2-4cc4-bd71-564a224e1335	TCGA-G9-6338-01A-12D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	6285609054_R03C01_Red.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-G9-6338-01A-12D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6338-01A-12D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-G9-6338-01A-12D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
5ad7d78c-d3a9-4176-8d16-8faf8320219b	TCGA-G9-6351-01A-21D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	6285609068_R04C01_Grn.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-G9-6351-01A-21D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-G9-6351-01A-21D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
5ad7d78c-d3a9-4176-8d16-8faf8320219b	TCGA-G9-6351-01A-21D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	6285609068_R04C01_Red.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-G9-6351-01A-21D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6351-01A-21D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-G9-6351-01A-21D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
77136459-c7a9-4b3b-b430-50694e41e357	TCGA-G9-6369-01A-21D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	6285609054_R01C01_Grn.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-G9-6369-01A-21D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-G9-6369-01A-21D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
77136459-c7a9-4b3b-b430-50694e41e357	TCGA-G9-6369-01A-21D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	6285609054_R01C01_Red.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-G9-6369-01A-21D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6369-01A-21D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-G9-6369-01A-21D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
ec8d3f22-1db3-4699-92a9-95ba2da3624d	TCGA-HC-7080-01A-11D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	6285609054_R04C02_Grn.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-HC-7080-01A-11D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-HC-7080-01A-11D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
ec8d3f22-1db3-4699-92a9-95ba2da3624d	TCGA-HC-7080-01A-11D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	6285609054_R04C02_Red.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-HC-7080-01A-11D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-HC-7080-01A-11D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-HC-7080-01A-11D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
b20e84a3-7620-4285-b92c-8539698c78ec	TCGA-G9-6329-01A-13D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	Cy3	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	6285609054_R03C02_Grn.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-G9-6329-01A-13D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-G9-6329-01A-13D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
b20e84a3-7620-4285-b92c-8539698c78ec	TCGA-G9-6329-01A-13D-1963-05	jhu-usc.edu:labeling:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	Cy5	MGED Ontology	jhu-usc.edu:hybridization:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	Illumina.com:PhysicalArrayDesign:HumanMethylation450	caArray	jhu-usc.edu:image_acquisition:HumanMethylation450:01	jhu-usc.edu:feature_extraction:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	6285609054_R03C02_Red.idat	jhu-usc.edu_PRAD.HumanMethylation450.Level_1.3.13.0	DNA Methylation	Level 1	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-2.TCGA-G9-6329-01A-13D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_2.3.13.0	DNA Methylation	Level 2	yes	jhu-usc.edu:within_bioassay_data_set_function:HumanMethylation450:01	TCGA-G9-6329-01A-13D-1963-05	jhu-usc.edu_PRAD.HumanMethylation450.3.lvl-3.TCGA-G9-6329-01A-13D-1963-05.txt	jhu-usc.edu_PRAD.HumanMethylation450.Level_3.3.13.0	DNA Methylation	Level 3	yes	HG19
