Amplicon	Cpos	Gpos	001-A1-2531.cov	001-A1-2531.ratio	002-B1-930.cov	002-B1-930.ratio	003-C1-2184.cov	003-C1-2184.ratio	004-D1-1814.cov	004-D1-1814.ratio	005-E1-539.cov	005-E1-539.ratio	006-F1-1607.cov	006-F1-1607.ratio	007-G1-2467.cov	007-G1-2467.ratio	008-H1-1622.cov	008-H1-1622.ratio	009-A2-1962.cov	009-A2-1962.ratio	010-B2-1398.cov	010-B2-1398.ratio	011-C2-2265.cov	011-C2-2265.ratio	012-D2-1608.cov	012-D2-1608.ratio	013-E2-2124.cov	013-E2-2124.ratio	014-F2-1366.cov	014-F2-1366.ratio	015-G2-2649.cov	015-G2-2649.ratio	016-H2-1314.cov	016-H2-1314.ratio	017-A3-1393.cov	017-A3-1393.ratio	018-B3-2148.cov	018-B3-2148.ratio	019-C3-948.cov	019-C3-948.ratio	020-D3-2387.cov	020-D3-2387.ratio	021-E3-903.cov	021-E3-903.ratio	022-F3-2398.cov	022-F3-2398.ratio	023-G3-1747.cov	023-G3-1747.ratio	024-H3-2109.cov	024-H3-2109.ratio	025-A4-2427.cov	025-A4-2427.ratio	026-B4-1767.cov	026-B4-1767.ratio	027-C4-2520.cov	027-C4-2520.ratio	028-D4-1895.cov	028-D4-1895.ratio	029-E4-993.cov	029-E4-993.ratio	030-F4-1721.cov	030-F4-1721.ratio	031-G4-1220.cov	031-G4-1220.ratio	032-H4-2560.cov	032-H4-2560.ratio	033-A5-1365.cov	033-A5-1365.ratio	034-B5-1217.cov	034-B5-1217.ratio	035-C5-2349.cov	035-C5-2349.ratio	036-D5-1650.cov	036-D5-1650.ratio	037-E5-1342.cov	037-E5-1342.ratio	038-F5-462.cov	038-F5-462.ratio	039-G5-2288.cov	039-G5-2288.ratio	040-H5-996.cov	040-H5-996.ratio	041-A6-2272.cov	041-A6-2272.ratio	042-B6-2128.cov	042-B6-2128.ratio	043-C6-579.cov	043-C6-579.ratio	044-D6-1618.cov	044-D6-1618.ratio	045-E6-1923.cov	045-E6-1923.ratio	046-F6-1362.cov	046-F6-1362.ratio	047-G6-584.cov	047-G6-584.ratio	048-H6-1275.cov	048-H6-1275.ratio	049-A7-1616.cov	049-A7-1616.ratio	050-B7-2091.cov	050-B7-2091.ratio	051-C7-2011.cov	051-C7-2011.ratio	052-D7-2497.cov	052-D7-2497.ratio	053-E7-529.cov	053-E7-529.ratio	054-F7-982.cov	054-F7-982.ratio	055-G7-1908.cov	055-G7-1908.ratio	056-H7-1823.cov	056-H7-1823.ratio	057-A8-997.cov	057-A8-997.ratio	058-B8-1617.cov	058-B8-1617.ratio	059-C8-1606.cov	059-C8-1606.ratio	060-D8-2465.cov	060-D8-2465.ratio	061-E8-1623.cov	061-E8-1623.ratio	062-F8-1605.cov	062-F8-1605.ratio	063-G8-1361.cov	063-G8-1361.ratio	064-H8-2575.cov	064-H8-2575.ratio	065-A9-580.cov	065-A9-580.ratio	066-B9-783.cov	066-B9-783.ratio	067-C9-955.cov	067-C9-955.ratio	068-D9-2287.cov	068-D9-2287.ratio	069-E9-888.cov	069-E9-888.ratio	070-F9-1806.cov	070-F9-1806.ratio	071-G9-2046.cov	071-G9-2046.ratio	072-H9-2132.cov	072-H9-2132.ratio	073-A10-2608.cov	073-A10-2608.ratio	074-B10-2293.cov	074-B10-2293.ratio	075-C10-894.cov	075-C10-894.ratio	076-D10-2315.cov	076-D10-2315.ratio	077-E10-2395.cov	077-E10-2395.ratio	078-F10-2390.cov	078-F10-2390.ratio	079-G10-1919.cov	079-G10-1919.ratio	080-H10-2505.cov	080-H10-2505.ratio	081-A11-985.cov	081-A11-985.ratio	082-B11-1728.cov	082-B11-1728.ratio	083-C11-1283.cov	083-C11-1283.ratio	084-D11-2606.cov	084-D11-2606.ratio	085-E11-1402.cov	085-E11-1402.ratio	086-F11-417.cov	086-F11-417.ratio	087-G11-1922.cov	087-G11-1922.ratio	088-H11-2172.cov	088-H11-2172.ratio	089-A12-1858.cov	089-A12-1858.ratio	090-B12-2111.cov	090-B12-2111.ratio	091-C12-0M.cov	091-C12-0M.ratio	092-D12-1M.cov	092-D12-1M.ratio	093-E12-25M.cov	093-E12-25M.ratio	094-F12-50M.cov	094-F12-50M.ratio	095-G12-75M.cov	095-G12-75M.ratio	096-H12-100M.cov	096-H12-100M.ratio
lethal_AC074091.13::chr2:27958321-27958372	21	23	183328	35.39	207738	57.32	281424	74.66	241868	46.55	213265	29.10	229263	70.45	202464	36.55	111764	14.32	255474	14.53	184335	 3.69	288723	14.12	190823	26.70	206915	20.49	236715	19.58	257352	 4.93	346373	 4.06	220989	43.03	238408	20.11	162951	16.17	223479	44.64	231009	26.54	206192	46.40	303537	10.91	182229	16.96	231402	28.27	257643	18.80	222348	35.30	205169	27.61	210644	53.90	185826	53.19	197375	40.60	199031	54.48	237013	64.91	222554	16.53	218724	34.77	223417	18.52	226833	69.60	243778	44.88	239256	17.66	221381	19.68	201033	30.69	157863	 7.79	202305	32.87	237277	51.21	237054	36.74	254413	 7.63	225488	30.51	215705	22.99	270440	14.38	225247	13.13	216657	44.62	177694	35.99	198147	 9.97	208185	18.65	206686	25.43	225221	 9.79	184826	54.82	180374	 4.65	301046	20.30	198037	31.55	231351	16.91	220677	17.35	195966	67.61	226400	35.30	207391	44.84	226962	33.29	210722	35.80	183862	54.22	279160	11.49	197973	57.00	245331	23.17	263081	21.10	221747	27.86	237607	31.15	215815	40.41	253512	 9.82	231164	19.44	209000	42.72	306057	 3.41	214664	41.14	237903	16.12	152659	26.61	222073	 8.68	266504	 7.14	213339	11.42	258926	 2.97	220869	19.65	179274	64.94	182988	56.30	202234	32.19	143868	 0.20	114794	 0.26	121621	28.81	137786	48.10	128702	74.83	139166	99.03
lethal_AC074091.13::chr2:27958321-27958372	30	32	183328	34.96	207738	59.63	281424	73.95	241868	45.70	213265	28.45	229263	73.21	202464	37.03	111764	13.99	255474	14.77	184335	 3.24	288723	15.06	190823	26.23	206915	21.55	236715	19.73	257352	 4.99	346373	 4.48	220989	44.81	238408	19.39	162951	21.12	223479	43.19	231009	27.29	206192	48.22	303537	10.00	182229	19.96	231402	28.66	257643	19.47	222348	34.17	205169	29.97	210644	55.03	185826	52.68	197375	40.18	199031	55.55	237013	64.91	222554	15.70	218724	38.96	223417	23.42	226833	69.66	243778	43.49	239256	15.82	221381	16.64	201033	33.80	157863	 7.08	202305	33.61	237277	52.96	237054	36.46	254413	 7.52	225488	30.37	215705	24.12	270440	14.28	225247	13.21	216657	47.96	177694	37.04	198147	11.44	208185	19.77	206686	26.29	225221	13.70	184826	55.79	180374	 5.95	301046	20.27	198037	32.07	231351	17.80	220677	15.21	195966	67.92	226400	36.29	207391	53.85	226962	36.24	210722	39.34	183862	52.80	279160	12.58	197973	56.96	245331	24.64	263081	22.12	221747	27.65	237607	30.10	215815	42.28	253512	 9.78	231164	18.81	209000	42.59	306057	 3.24	214664	45.27	237903	17.92	152659	31.30	222073	 9.98	266504	 6.73	213339	11.11	258926	 4.83	220869	25.15	179274	65.70	182988	57.01	202234	30.07	143868	 0.09	114794	 0.93	121621	26.96	137786	47.38	128702	71.03	139166	96.60
lethal_AC074091.13::chr2:27958321-27958372	36	38	183328	35.67	207738	59.58	281424	75.36	241868	46.53	213265	31.03	229263	74.78	202464	36.40	111764	16.79	255474	16.72	184335	 4.03	288723	15.27	190823	29.84	206915	24.24	236715	20.65	257352	 6.01	346373	 7.42	220989	45.96	238408	21.63	162951	23.31	223479	46.66	231009	28.73	206192	52.77	303537	12.37	182229	29.92	231402	32.76	257643	21.44	222348	35.50	205169	31.25	210644	55.01	185826	52.36	197375	43.08	199031	56.89	237013	66.47	222554	17.03	218724	40.65	223417	27.98	226833	68.96	243778	45.82	239256	17.24	221381	21.12	201033	34.10	157863	 7.81	202305	34.43	237277	52.98	237054	37.28	254413	 9.77	225488	31.35	215705	23.94	270440	14.43	225247	13.83	216657	46.45	177694	39.74	198147	11.87	208185	21.11	206686	28.24	225221	15.17	184826	57.55	180374	 7.36	301046	21.82	198037	33.43	231351	20.09	220677	18.32	195966	67.73	226400	37.53	207391	57.74	226962	35.74	210722	39.79	183862	54.26	279160	14.69	197973	58.28	245331	26.22	263081	22.66	221747	28.90	237607	32.85	215815	44.11	253512	10.69	231164	21.51	209000	43.59	306057	 3.51	214664	42.19	237903	20.45	152659	35.02	222073	11.61	266504	 7.62	213339	11.54	258926	 5.02	220869	30.85	179274	65.45	182988	61.10	202234	31.87	143868	 0.15	114794	 0.22	121621	30.35	137786	47.71	128702	73.32	139166	97.85
lethal_BHLHB9::chrX:102001304-102001351	13	15	21185	18.73	65527	79.03	55331	85.79	39741	69.84	34794	56.03	26618	52.46	45197	74.69	28440	 4.23	28217	54.30	24609	 1.23	42623	29.36	65728	61.33	23354	34.50	36286	43.00	23778	58.98	26170	60.36	35660	10.37	21691	 7.11	11609	32.42	69750	72.42	23170	17.06	23733	47.22	22730	 5.14	57275	68.53	39333	50.20	53030	10.86	30537	 1.63	35102	16.02	46537	72.31	27010	80.78	47957	80.27	40038	80.05	38454	49.71	16621	 3.06	25894	36.94	42521	46.42	55409	66.65	40450	56.99	29029	60.07	66838	67.12	44682	58.77	11017	 2.34	26865	49.28	68287	44.03	41251	62.54	45489	 1.37	26206	15.37	36659	29.42	49741	27.95	33194	20.20	59416	39.33	23528	 1.84	22118	11.64	27896	50.30	32179	16.05	36432	23.02	18015	36.97	34273	 4.69	42765	26.75	33093	63.61	26026	 1.21	30117	35.06	19478	 3.50	19075	 5.78	61674	53.85	41099	 2.61	46687	62.76	26159	 4.73	51293	16.47	34541	 3.86	75817	33.43	41538	48.38	30693	65.80	44497	21.11	28107	 2.21	24327	 4.66	43341	 5.62	29009	41.54	36849	 1.56	38198	 9.03	21811	57.32	15157	50.70	18700	71.07	37888	 9.77	20442	16.99	36146	 2.19	50270	17.00	53567	83.41	69274	65.34	32544	 4.89	103053	 0.46	126650	 1.31	128100	30.86	168644	48.42	160485	75.18	176529	93.29
lethal_BHLHB9::chrX:102001304-102001351	21	23	21185	15.66	65527	76.47	55331	82.57	39741	72.36	34794	53.49	26618	44.07	45197	72.66	28440	 6.11	28217	51.50	24609	 1.16	42623	29.13	65728	57.60	23354	29.15	36286	42.50	23778	54.72	26170	58.78	35660	 8.12	21691	 5.71	11609	24.02	69750	72.45	23170	14.70	23733	39.51	22730	 3.22	57275	63.45	39333	44.74	53030	 5.51	30537	 1.77	35102	11.45	46537	70.86	27010	76.02	47957	80.19	40038	77.01	38454	42.15	16621	 2.50	25894	29.65	42521	43.69	55409	56.30	40450	52.04	29029	55.52	66838	60.04	44682	55.24	11017	 1.29	26865	47.21	68287	36.92	41251	61.04	45489	 1.95	26206	13.75	36659	23.27	49741	28.00	33194	13.47	59416	28.07	23528	 1.08	22118	 9.07	27896	44.29	32179	12.92	36432	17.19	18015	35.79	34273	 3.36	42765	22.88	33093	53.63	26026	 2.11	30117	35.93	19478	 3.05	19075	 4.94	61674	39.78	41099	 3.16	46687	61.98	26159	 2.98	51293	11.28	34541	 3.18	75817	22.95	41538	49.39	30693	64.91	44497	20.62	28107	 1.90	24327	 5.28	43341	 5.23	29009	38.14	36849	 0.86	38198	 6.99	21811	54.94	15157	48.39	18700	71.28	37888	 6.96	20442	14.37	36146	 1.66	50270	11.78	53567	80.11	69274	64.90	32544	 6.07	103053	 0.79	126650	 1.91	128100	31.47	168644	50.98	160485	79.18	176529	97.38
lethal_BHLHB9::chrX:102001304-102001351	36	38	21185	17.34	65527	79.31	55331	85.62	39741	73.77	34794	54.38	26618	46.17	45197	74.92	28440	 6.68	28217	51.71	24609	 1.50	42623	30.74	65728	54.31	23354	30.32	36286	42.34	23778	56.09	26170	59.56	35660	 8.53	21691	 6.90	11609	24.90	69750	72.11	23170	14.07	23733	40.30	22730	 1.96	57275	65.61	39333	41.84	53030	 6.62	30537	 1.38	35102	12.17	46537	74.05	27010	80.77	47957	81.80	40038	80.75	38454	47.16	16621	 1.82	25894	35.75	42521	40.58	55409	62.16	40450	58.89	29029	60.20	66838	65.75	44682	54.70	11017	 2.25	26865	50.22	68287	30.34	41251	62.28	45489	 1.86	26206	13.50	36659	26.12	49741	27.39	33194	21.29	59416	42.63	23528	 1.24	22118	11.12	27896	44.45	32179	14.92	36432	19.81	18015	36.67	34273	 4.67	42765	23.77	33093	56.83	26026	 1.33	30117	36.83	19478	 2.54	19075	 6.28	61674	48.55	41099	 3.59	46687	60.73	26159	 6.19	51293	12.27	34541	 3.48	75817	22.49	41538	50.71	30693	65.93	44497	21.19	28107	 3.13	24327	 4.79	43341	 4.61	29009	39.60	36849	 3.39	38198	 5.98	21811	55.83	15157	48.06	18700	72.23	37888	10.02	20442	12.14	36146	 1.36	50270	14.80	53567	84.15	69274	66.13	32544	 4.19	103053	 0.46	126650	 1.40	128100	31.92	168644	52.69	160485	79.47	176529	97.09
lethal_BHLHB9::chrX:102001304-102001351	38	40	21185	17.72	65527	77.60	55331	86.02	39741	72.65	34794	52.77	26618	49.90	45197	73.55	28440	 5.00	28217	53.26	24609	 0.33	42623	26.11	65728	60.61	23354	32.03	36286	43.70	23778	55.48	26170	60.28	35660	 8.40	21691	 9.08	11609	26.36	69750	72.72	23170	15.98	23733	40.27	22730	 3.77	57275	65.58	39333	48.24	53030	 6.81	30537	 1.07	35102	13.98	46537	72.86	27010	78.83	47957	80.61	40038	81.10	38454	40.65	16621	 2.97	25894	36.05	42521	45.71	55409	61.56	40450	58.26	29029	56.74	66838	67.42	44682	56.71	11017	 2.09	26865	49.35	68287	24.25	41251	60.76	45489	 3.72	26206	14.01	36659	26.19	49741	26.84	33194	20.40	59416	38.47	23528	 1.84	22118	11.54	27896	44.50	32179	12.74	36432	19.13	18015	36.66	34273	 3.29	42765	23.81	33093	59.71	26026	 1.28	30117	32.80	19478	 2.98	19075	 5.67	61674	43.30	41099	 3.16	46687	60.56	26159	 2.03	51293	 8.62	34541	 3.54	75817	25.44	41538	49.24	30693	64.96	44497	21.40	28107	 2.54	24327	 3.19	43341	 4.57	29009	41.41	36849	 3.48	38198	 7.15	21811	55.92	15157	49.32	18700	72.06	37888	12.17	20442	13.49	36146	 2.45	50270	16.18	53567	84.05	69274	67.64	32544	 5.07	103053	 0.56	126650	 1.43	128100	30.64	168644	52.32	160485	79.05	176529	99.11
lethal_BHLHB9::chrX:102001304-102001351	45	47	21185	18.57	65527	78.44	55331	84.84	39741	73.99	34794	56.29	26618	53.18	45197	73.21	28440	 9.89	28217	55.06	24609	 1.22	42623	29.43	65728	62.30	23354	34.81	36286	43.11	23778	59.20	26170	60.68	35660	10.82	21691	 8.02	11609	33.43	69750	72.02	23170	17.89	23733	47.48	22730	 5.08	57275	67.70	39333	50.11	53030	10.74	30537	 2.01	35102	16.40	46537	74.56	27010	79.65	47957	81.97	40038	80.69	38454	50.91	16621	 4.44	25894	37.93	42521	46.06	55409	68.93	40450	56.45	29029	58.58	66838	68.22	44682	58.99	11017	 3.10	26865	50.93	68287	44.19	41251	63.00	45489	 3.13	26206	16.84	36659	29.55	49741	29.81	33194	22.75	59416	41.12	23528	 2.42	22118	11.89	27896	48.35	32179	16.34	36432	23.34	18015	37.89	34273	 5.73	42765	25.06	33093	64.81	26026	 2.06	30117	38.28	19478	 3.10	19075	 5.98	61674	52.63	41099	 5.27	46687	63.14	26159	 6.44	51293	12.22	34541	 6.80	75817	29.94	41538	51.04	30693	64.69	44497	22.43	28107	 3.37	24327	 5.13	43341	 6.05	29009	41.33	36849	 0.22	38198	 7.79	21811	57.61	15157	51.56	18700	71.82	37888	 9.68	20442	16.30	36146	 2.11	50270	18.46	53567	85.42	69274	67.57	32544	 4.20	103053	 0.92	126650	 1.36	128100	30.47	168644	52.38	160485	78.45	176529	97.59
lethal_CACNA2D4::chr12:1906518-1906585	6	8	49459	 6.64	53898	50.14	79494	79.10	64449	28.32	66827	34.85	71705	56.46	71730	47.99	68978	78.64	53024	39.26	47647	 3.02	84946	36.31	99323	65.98	47285	17.26	79332	29.81	44249	 4.99	53252	 6.72	120070	77.37	70182	 5.45	35655	14.29	124422	74.68	59209	33.24	58404	55.11	46105	 7.42	73443	77.86	67992	32.51	89419	34.74	98265	46.10	79930	44.83	73219	34.44	65378	74.52	61536	51.95	52263	14.77	94642	81.89	41619	 5.37	57152	61.30	72452	36.67	90755	79.48	61685	51.61	55448	25.71	72082	35.88	76489	43.72	37111	 9.06	60232	56.66	63640	42.24	65093	55.86	69834	10.57	70474	 9.21	78764	35.39	71075	31.87	55612	22.57	101048	72.94	72157	44.87	61364	27.88	65852	46.27	84995	26.09	54506	 9.16	36900	34.57	44715	 7.67	77076	33.41	48241	38.14	44291	23.13	39551	23.95	56429	77.51	68790	34.09	108521	60.56	74108	30.93	81711	61.15	70755	48.93	69598	11.18	90324	74.86	106065	 4.62	65874	52.19	56459	43.75	61440	 6.86	77739	65.03	56749	34.07	46361	10.14	63575	35.96	53197	 6.24	57061	 6.70	38494	21.03	34649	49.38	22827	42.18	33252	43.04	41254	17.69	45939	17.69	85953	19.18	179932	80.14	103748	73.41	65015	23.60	5624	 0.18	12934	 0.12	4064	29.36	12712	53.09	12106	76.24	15815	99.92
lethal_CACNA2D4::chr12:1906518-1906585	14	16	49459	 0.62	53898	41.13	79494	67.89	64449	21.90	66827	26.44	71705	36.82	71730	49.29	68978	71.27	53024	39.34	47647	 1.14	84946	29.85	99323	32.67	47285	 8.61	79332	18.46	44249	 2.51	53252	 2.37	120070	74.48	70182	 1.94	35655	 6.00	124422	70.83	59209	25.99	58404	51.10	46105	 1.50	73443	58.63	67992	26.14	89419	24.04	98265	42.62	79930	29.26	73219	 8.96	65378	70.19	61536	43.55	52263	10.66	94642	72.72	41619	 3.53	57152	58.86	72452	28.34	90755	76.44	61685	46.36	55448	21.76	72082	33.78	76489	37.95	37111	 3.79	60232	50.40	63640	29.58	65093	51.91	69834	 7.60	70474	 2.63	78764	29.52	71075	30.15	55612	12.96	101048	52.21	72157	38.05	61364	17.26	65852	43.31	84995	16.50	54506	 6.78	36900	24.67	44715	 0.78	77076	28.47	48241	32.99	44291	18.42	39551	15.21	56429	60.27	68790	29.33	108521	21.59	74108	28.38	81711	48.58	70755	44.33	69598	 2.81	90324	70.29	106065	 1.49	65874	50.21	56459	39.16	61440	 4.35	77739	58.74	56749	25.65	46361	 7.41	63575	31.70	53197	 3.59	57061	 4.65	38494	11.67	34649	34.06	22827	35.72	33252	31.14	41254	 7.55	45939	11.35	85953	10.47	179932	72.61	103748	70.89	65015	23.70	5624	 0.11	12934	 0.20	4064	17.37	12712	53.13	12106	76.19	15815	99.92
