Amplicon	Cpos	Gpos	001-A1-1824.cov	001-A1-1824.ratio	002-B1-954.cov	002-B1-954.ratio	003-C1-1912.cov	003-C1-1912.ratio	004-D1-1757.cov	004-D1-1757.ratio	005-E1-2477.cov	005-E1-2477.ratio	006-F1-1436.cov	006-F1-1436.ratio	007-G1-1755.cov	007-G1-1755.ratio	008-H1-1954.cov	008-H1-1954.ratio	009-A2-1439.cov	009-A2-1439.ratio	010-B2-1963.cov	010-B2-1963.ratio	011-C2-1219.cov	011-C2-1219.ratio	012-D2-1924.cov	012-D2-1924.ratio	013-E2-1261.cov	013-E2-1261.ratio	014-F2-2074.cov	014-F2-2074.ratio	015-G2-2010.cov	015-G2-2010.ratio	016-H2-1274.cov	016-H2-1274.ratio	017-A3-1927.cov	017-A3-1927.ratio	018-B3-1309.cov	018-B3-1309.ratio	019-C3-956.cov	019-C3-956.ratio	020-D3-1712.cov	020-D3-1712.ratio	021-E3-565.cov	021-E3-565.ratio	022-F3-593.cov	022-F3-593.ratio	023-G3-1857.cov	023-G3-1857.ratio	024-H3-995.cov	024-H3-995.ratio	025-A4-1831.cov	025-A4-1831.ratio	026-B4-896.cov	026-B4-896.ratio	027-C4-2481.cov	027-C4-2481.ratio	028-D4-491.cov	028-D4-491.ratio	029-E4-2271.cov	029-E4-2271.ratio	030-F4-953.cov	030-F4-953.ratio	031-G4-2290.cov	031-G4-2290.ratio	032-H4-2512.cov	032-H4-2512.ratio	033-A5-2269.cov	033-A5-2269.ratio	034-B5-1734.cov	034-B5-1734.ratio	035-C5-2106.cov	035-C5-2106.ratio	036-D5-1804.cov	036-D5-1804.ratio	037-E5-1753.cov	037-E5-1753.ratio	038-F5-999.cov	038-F5-999.ratio	039-G5-1744.cov	039-G5-1744.ratio	040-H5-2414.cov	040-H5-2414.ratio	041-A6-947.cov	041-A6-947.ratio	042-B6-1377.cov	042-B6-1377.ratio	043-C6-1793.cov	043-C6-1793.ratio	044-D6-1893.cov	044-D6-1893.ratio	045-E6-535.cov	045-E6-535.ratio	046-F6-1438.cov	046-F6-1438.ratio	047-G6-1825.cov	047-G6-1825.ratio	048-H6-890.cov	048-H6-890.ratio	049-A7-2294.cov	049-A7-2294.ratio	050-B7-816.cov	050-B7-816.ratio	051-C7-2525.cov	051-C7-2525.ratio	052-D7-1225.cov	052-D7-1225.ratio	053-E7-2052.cov	053-E7-2052.ratio	054-F7-385.cov	054-F7-385.ratio	055-G7-496.cov	055-G7-496.ratio	056-H7-2182.cov	056-H7-2182.ratio	057-A8-2483.cov	057-A8-2483.ratio	058-B8-2079.cov	058-B8-2079.ratio	059-C8-2102.cov	059-C8-2102.ratio	060-D8-1651.cov	060-D8-1651.ratio	061-E8-891.cov	061-E8-891.ratio	062-F8-2114.cov	062-F8-2114.ratio	063-G8-2175.cov	063-G8-2175.ratio	064-H8-1856.cov	064-H8-1856.ratio	065-A9-2107.cov	065-A9-2107.ratio	066-B9-540.cov	066-B9-540.ratio	067-C9-1808.cov	067-C9-1808.ratio	068-D9-2424.cov	068-D9-2424.ratio	069-E9-2428.cov	069-E9-2428.ratio	070-F9-2321.cov	070-F9-2321.ratio	071-G9-897.cov	071-G9-897.ratio	072-H9-933.cov	072-H9-933.ratio	073-A10-924.cov	073-A10-924.ratio	074-B10-2313.cov	074-B10-2313.ratio	075-C10-1218.cov	075-C10-1218.ratio	076-D10-1603.cov	076-D10-1603.ratio	077-E10-1256.cov	077-E10-1256.ratio	078-F10-904.cov	078-F10-904.ratio	079-G10-1894.cov	079-G10-1894.ratio	080-H10-2246.cov	080-H10-2246.ratio	081-A11-2316.cov	081-A11-2316.ratio	082-B11-2127.cov	082-B11-2127.ratio	083-C11-2466.cov	083-C11-2466.ratio	084-D11-448.cov	084-D11-448.ratio	085-E11-2510.cov	085-E11-2510.ratio	086-F11-613.cov	086-F11-613.ratio	087-G11-2144.cov	087-G11-2144.ratio	088-H11-1754.cov	088-H11-1754.ratio	089-A12-1916.cov	089-A12-1916.ratio	090-B12-1619.cov	090-B12-1619.ratio	091-C12-2603.cov	091-C12-2603.ratio	092-D12-1826.cov	092-D12-1826.ratio	093-E12-2607.cov	093-E12-2607.ratio	094-F12-1376.cov	094-F12-1376.ratio	095-G12-2452.cov	095-G12-2452.ratio	096-H12-2393.cov	096-H12-2393.ratio
lethal_AC074091.13::chr2:27958321-27958372	21	23	238463	21.11	214037	13.54	254726	10.67	216096	 2.89	239765	29.19	249885	42.08	161181	51.38	222423	28.58	211124	33.95	159383	48.77	198063	33.96	194878	25.26	274125	11.38	196234	35.96	138520	 8.30	232514	 3.19	252746	45.05	303114	22.90	298333	17.28	234555	 3.43	178866	42.66	253884	10.19	195880	25.97	83239	39.62	296926	26.04	202283	75.81	249065	11.56	154887	31.54	132386	25.62	142652	 1.43	310376	34.22	232984	12.29	222828	38.60	147442	32.92	156862	 7.30	153102	23.57	209948	29.80	200677	53.61	112537	30.18	202148	40.70	124404	52.51	108027	35.39	182152	72.84	163278	 7.56	242220	43.89	196906	31.55	115848	24.97	99881	85.00	188692	34.60	171406	14.99	262488	10.42	192416	 4.75	222175	64.31	233221	11.71	134450	55.67	207678	10.26	290011	22.56	121346	35.90	193978	58.83	201201	18.32	207670	 2.17	266251	17.33	167190	70.30	147887	34.40	198266	 6.65	102991	60.22	234268	40.01	114877	60.39	225510	64.71	223011	36.35	208532	53.65	206977	 2.42	181660	59.12	253750	65.77	277374	48.67	263256	84.22	245968	44.22	181001	42.05	294022	13.77	223971	25.14	294986	29.61	220989	 8.08	308383	17.59	312442	 6.64	274609	25.85	391616	 3.50	286192	37.25	160230	52.25	296051	19.03	249971	 7.82	281801	20.61	337874	11.34	239427	46.77	247529	19.69	212218	40.45	249020	36.84
lethal_AC074091.13::chr2:27958321-27958372	30	32	238463	21.30	214037	12.81	254726	10.76	216096	 3.05	239765	28.79	249885	51.88	161181	52.59	222423	31.60	211124	35.10	159383	49.83	198063	33.42	194878	27.21	274125	11.35	196234	36.32	138520	 7.87	232514	 2.92	252746	58.62	303114	23.60	298333	15.73	234555	 3.48	178866	42.85	253884	10.73	195880	25.67	83239	38.16	296926	28.34	202283	75.13	249065	10.93	154887	32.08	132386	24.11	142652	 1.80	310376	33.99	232984	16.65	222828	37.52	147442	33.33	156862	 6.23	153102	25.76	209948	30.07	200677	52.79	112537	30.77	202148	41.98	124404	55.74	108027	35.27	182152	80.59	163278	 8.91	242220	45.00	196906	32.82	115848	24.75	99881	87.53	188692	46.81	171406	15.41	262488	10.39	192416	 5.26	222175	66.43	233221	14.10	134450	59.69	207678	 9.94	290011	22.39	121346	35.64	193978	60.71	201201	19.48	207670	 1.84	266251	17.72	167190	69.87	147887	44.40	198266	 7.16	102991	61.06	234268	41.33	114877	63.13	225510	64.03	223011	37.41	208532	56.57	206977	 2.18	181660	64.76	253750	65.75	277374	47.34	263256	86.83	245968	48.06	181001	43.48	294022	12.84	223971	27.98	294986	32.62	220989	 9.23	308383	18.36	312442	 7.49	274609	26.93	391616	 2.02	286192	39.91	160230	51.68	296051	17.78	249971	 7.09	281801	20.50	337874	11.35	239427	48.17	247529	22.15	212218	39.95	249020	40.89
lethal_AC074091.13::chr2:27958321-27958372	36	38	238463	22.26	214037	17.23	254726	14.22	216096	 4.54	239765	29.99	249885	53.51	161181	51.39	222423	33.83	211124	37.46	159383	52.15	198063	34.33	194878	26.83	274125	12.80	196234	38.17	138520	 8.85	232514	 3.71	252746	63.64	303114	26.24	298333	17.99	234555	 3.75	178866	45.68	253884	12.21	195880	26.15	83239	39.72	296926	30.67	202283	74.54	249065	12.29	154887	33.39	132386	26.42	142652	 2.34	310376	34.91	232984	17.62	222828	38.89	147442	36.07	156862	 8.95	153102	27.82	209948	31.44	200677	54.66	112537	30.94	202148	42.02	124404	55.92	108027	36.23	182152	82.10	163278	10.89	242220	47.24	196906	35.03	115848	27.90	99881	88.49	188692	48.49	171406	16.32	262488	11.45	192416	 6.52	222175	69.85	233221	17.08	134450	59.43	207678	10.65	290011	25.20	121346	38.17	193978	60.50	201201	20.05	207670	 2.36	266251	17.18	167190	71.28	147887	50.72	198266	10.29	102991	61.02	234268	41.65	114877	63.15	225510	65.11	223011	38.91	208532	56.58	206977	 3.22	181660	65.85	253750	66.43	277374	49.23	263256	86.16	245968	47.94	181001	44.83	294022	16.39	223971	29.24	294986	33.12	220989	10.72	308383	18.20	312442	 8.67	274609	28.42	391616	 3.83	286192	40.70	160230	53.21	296051	19.02	249971	 9.68	281801	22.10	337874	12.25	239427	48.58	247529	24.87	212218	40.77	249020	42.18
lethal_BHLHB9::chrX:102001304-102001351	13	15	30080	 0.14	34784	 2.91	51127	15.54	19769	31.06	37456	 5.55	31494	 3.42	46591	77.56	44741	 1.32	13974	 9.48	45108	62.43	31902	 6.19	38921	13.13	37701	 8.67	9704	 1.55	19725	70.16	13966	 1.26	62252	 0.72	58901	53.63	26618	44.39	37408	 1.76	38102	37.49	23300	 1.54	39805	43.23	9326	15.12	47492	46.55	28119	 6.22	19983	 2.24	23006	50.00	18752	 0.89	15364	 0.83	61002	53.19	35632	 1.14	27314	66.03	14617	 5.15	37145	 1.01	23562	47.56	37864	65.37	69221	58.96	18994	54.67	36974	67.99	19376	37.03	9272	 3.57	24611	93.30	37388	10.08	77542	59.86	15861	16.51	13400	 4.34	11669	 1.23	23630	 9.01	56586	11.21	36102	26.93	39565	90.73	28111	 0.22	27680	20.96	44861	80.13	35738	 9.19	51969	33.68	25297	61.72	36749	 1.94	27919	19.04	8161	 0.97	26823	 1.01	40011	81.86	37795	 4.30	19287	 5.41	14127	 1.15	63057	53.37	46033	84.48	70261	86.42	36121	 8.21	61582	81.80	60666	54.43	43908	86.52	78208	80.93	58054	71.41	58553	92.76	42336	28.76	15413	58.78	45187	 1.62	38058	47.60	73250	51.89	19123	 4.59	69365	49.58	54285	 3.21	36643	31.72	47253	 0.20	78467	32.84	43630	71.86	42318	 1.82	22035	 0.55	39217	 4.64	18546	40.90	78879	12.07	57648	49.73	45067	51.32	62654	64.70
lethal_BHLHB9::chrX:102001304-102001351	21	23	30080	 0.66	34784	 2.45	51127	12.83	19769	30.37	37456	 5.30	31494	 2.30	46591	72.81	44741	 0.28	13974	 5.14	45108	59.66	31902	 3.25	38921	11.66	37701	 9.39	9704	 0.97	19725	66.62	13966	 1.03	62252	 2.92	58901	47.05	26618	47.18	37408	 2.99	38102	36.99	23300	 0.72	39805	35.93	9326	13.76	47492	46.41	28119	 3.36	19983	 0.21	23006	45.10	18752	 0.25	15364	 0.61	61002	55.50	35632	 2.59	27314	62.80	14617	 5.53	37145	 1.25	23562	43.21	37864	65.25	69221	59.17	18994	53.20	36974	66.47	19376	34.68	9272	 3.19	24611	81.13	37388	12.21	77542	37.50	15861	14.58	13400	 4.48	11669	 1.46	23630	 4.12	56586	 8.01	36102	25.08	39565	88.21	28111	 0.15	27680	19.48	44861	79.08	35738	 7.17	51969	29.29	25297	60.26	36749	 6.10	27919	11.92	8161	 1.37	26823	 1.45	40011	78.56	37795	 1.79	19287	 4.29	14127	 2.12	63057	55.28	46033	85.00	70261	83.98	36121	 4.70	61582	78.19	60666	53.43	43908	84.02	78208	78.20	58054	70.64	58553	90.91	42336	24.08	15413	57.33	45187	 0.19	38058	48.37	73250	46.45	19123	 4.16	69365	48.83	54285	 4.29	36643	29.88	47253	 1.12	78467	24.20	43630	66.30	42318	 1.81	22035	 1.33	39217	 3.95	18546	39.51	78879	11.66	57648	47.74	45067	34.23	62654	67.24
lethal_BHLHB9::chrX:102001304-102001351	36	38	30080	 0.89	34784	 1.89	51127	12.17	19769	28.92	37456	 4.66	31494	 2.36	46591	79.04	44741	 1.49	13974	 7.75	45108	59.67	31902	 6.16	38921	11.20	37701	 9.84	9704	 2.31	19725	68.33	13966	 1.51	62252	 0.81	58901	56.34	26618	38.59	37408	 1.32	38102	39.31	23300	 0.83	39805	43.69	9326	14.12	47492	42.67	28119	 4.90	19983	 0.91	23006	49.87	18752	 0.26	15364	 0.57	61002	57.53	35632	 2.30	27314	62.19	14617	 7.18	37145	 0.49	23562	47.23	37864	66.84	69221	63.77	18994	54.62	36974	69.00	19376	30.92	9272	 3.04	24611	76.67	37388	11.62	77542	41.60	15861	15.27	13400	 7.33	11669	 1.16	23630	 7.81	56586	12.47	36102	28.55	39565	93.31	28111	 1.25	27680	21.59	44861	82.64	35738	11.03	51969	34.96	25297	63.24	36749	 1.48	27919	11.20	8161	 2.18	26823	 1.66	40011	79.47	37795	 4.92	19287	 5.08	14127	 1.32	63057	56.08	46033	87.30	70261	85.20	36121	 5.54	61582	81.64	60666	56.67	43908	86.60	78208	81.12	58054	73.21	58553	94.52	42336	24.37	15413	58.05	45187	 0.82	38058	48.23	73250	50.13	19123	 4.93	69365	51.32	54285	 3.77	36643	29.41	47253	 0.21	78467	29.72	43630	72.97	42318	 2.63	22035	 0.74	39217	 3.39	18546	40.66	78879	11.21	57648	51.32	45067	36.81	62654	67.37
lethal_BHLHB9::chrX:102001304-102001351	38	40	30080	 1.01	34784	 3.76	51127	15.58	19769	27.39	37456	 7.12	31494	 2.00	46591	78.88	44741	 0.24	13974	 7.24	45108	61.95	31902	 7.05	38921	14.61	37701	 9.90	9704	 1.99	19725	69.45	13966	 1.72	62252	 1.01	58901	54.58	26618	41.13	37408	 0.26	38102	41.05	23300	 2.62	39805	41.15	9326	15.13	47492	42.37	28119	 6.00	19983	 1.60	23006	48.09	18752	 0.29	15364	 0.75	61002	56.79	35632	 1.72	27314	62.62	14617	 5.53	37145	 1.77	23562	48.22	37864	65.27	69221	60.81	18994	53.64	36974	69.36	19376	32.38	9272	 3.61	24611	63.30	37388	10.22	77542	37.05	15861	15.36	13400	 7.01	11669	 1.25	23630	 8.85	56586	 9.94	36102	27.85	39565	93.94	28111	 0.79	27680	20.38	44861	82.72	35738	 9.16	51969	34.46	25297	61.74	36749	 1.85	27919	17.42	8161	 2.40	26823	 0.58	40011	80.63	37795	 5.06	19287	 5.31	14127	 1.36	63057	54.33	46033	85.53	70261	85.21	36121	 5.43	61582	83.25	60666	57.27	43908	86.30	78208	81.40	58054	75.00	58553	93.51	42336	28.08	15413	57.06	45187	 2.92	38058	48.78	73250	49.01	19123	 1.93	69365	51.66	54285	 2.77	36643	32.80	47253	 1.53	78467	28.26	43630	73.37	42318	 0.99	22035	 1.02	39217	 3.68	18546	40.61	78879	 9.43	57648	50.39	45067	41.86	62654	67.20
lethal_BHLHB9::chrX:102001304-102001351	45	47	30080	 1.60	34784	 4.40	51127	18.85	19769	33.12	37456	 7.73	31494	 2.94	46591	76.83	44741	 0.55	13974	10.79	45108	62.91	31902	 5.71	38921	13.34	37701	10.42	9704	 2.80	19725	70.80	13966	 1.70	62252	 1.50	58901	54.58	26618	46.26	37408	 3.47	38102	41.35	23300	 1.39	39805	45.44	9326	14.70	47492	42.08	28119	 7.31	19983	 1.76	23006	50.57	18752	 1.64	15364	 0.76	61002	58.19	35632	 1.95	27314	63.59	14617	 8.14	37145	 3.12	23562	49.60	37864	68.85	69221	63.58	18994	52.80	36974	68.42	19376	39.43	9272	 4.52	24611	93.34	37388	12.65	77542	62.79	15861	16.05	13400	 6.71	11669	 1.41	23630	 7.97	56586	12.88	36102	27.21	39565	93.09	28111	 1.89	27680	21.32	44861	82.80	35738	10.79	51969	34.24	25297	63.30	36749	 5.96	27919	19.88	8161	 2.71	26823	 2.38	40011	80.74	37795	 6.98	19287	 5.94	14127	 0.62	63057	56.42	46033	83.05	70261	85.14	36121	 8.80	61582	81.59	60666	55.23	43908	87.01	78208	82.33	58054	75.16	58553	94.05	42336	29.92	15413	58.83	45187	 1.46	38058	48.09	73250	50.81	19123	 5.54	69365	50.89	54285	 5.96	36643	32.20	47253	 1.21	78467	31.87	43630	74.10	42318	 1.82	22035	 0.93	39217	 2.34	18546	41.42	78879	12.48	57648	49.76	45067	52.49	62654	66.57
lethal_CACNA2D4::chr12:1906518-1906585	6	8	67695	 8.75	62760	31.27	79787	46.78	33199	29.12	90166	52.20	82967	17.71	84091	75.45	89590	11.68	22865	29.14	49707	64.42	35266	33.08	53215	11.83	39074	 9.73	38593	26.54	9830	 4.69	27414	21.51	105684	54.42	79592	35.25	67587	49.95	64221	20.57	45152	35.93	66590	21.22	43266	36.47	19126	14.60	49964	 9.05	25434	 8.47	43464	14.02	43234	54.44	35611	 2.79	35950	 9.92	97674	52.35	55047	14.63	39910	44.44	35948	55.91	56835	33.74	27026	15.66	59352	53.98	74614	31.12	28117	42.58	56843	59.71	48761	52.03	33878	60.02	29916	65.03	88052	45.31	101819	71.43	37923	40.64	39118	21.28	50206	70.14	61708	57.08	51855	32.77	108878	23.97	80535	87.02	95970	65.65	94748	36.77	57741	79.71	68851	 9.10	87994	45.66	26885	 6.19	69248	71.10	51478	36.71	22979	 5.11	58375	10.24	35514	48.68	37235	 5.29	57889	15.93	52645	77.24	100815	49.80	34275	11.90	74860	73.36	48214	 7.75	54469	63.69	63596	 5.54	59838	 2.57	77777	64.25	87114	61.80	106144	83.26	80021	37.94	48239	56.88	78015	17.25	71087	43.63	91436	14.92	36898	39.48	58956	 8.12	124357	57.87	64045	45.97	78527	12.64	130974	33.60	44357	57.41	73535	 7.04	68234	59.82	102091	 9.58	65251	10.28	132740	69.62	96781	25.66	95980	74.97	69699	41.96
lethal_CACNA2D4::chr12:1906518-1906585	14	16	67695	 4.57	62760	26.90	79787	38.31	33199	21.13	90166	47.09	82967	 7.47	84091	68.76	89590	 2.82	22865	18.86	49707	59.55	35266	21.60	53215	 4.33	39074	 1.92	38593	23.37	9830	 2.18	27414	12.29	105684	51.61	79592	27.32	67587	43.96	64221	 7.33	45152	27.35	66590	15.13	43266	24.06	19126	10.76	49964	 1.30	25434	 4.01	43464	 4.51	43234	47.33	35611	 0.74	35950	 2.17	97674	52.44	55047	 8.37	39910	43.76	35948	44.27	56835	23.39	27026	 8.50	59352	51.21	74614	18.61	28117	34.76	56843	51.19	48761	32.19	33878	34.48	29916	22.25	88052	24.18	101819	70.63	37923	28.88	39118	12.87	50206	59.17	61708	52.00	51855	22.09	108878	20.74	80535	81.97	95970	38.53	94748	25.22	57741	77.34	68851	 2.60	87994	41.90	26885	 1.69	69248	60.45	51478	34.38	22979	 3.17	58375	 3.87	35514	47.03	37235	 6.34	57889	 7.32	52645	74.92	100815	49.44	34275	 4.53	74860	62.11	48214	 2.43	54469	59.98	63596	 2.97	59838	 1.35	77777	60.36	87114	45.92	106144	61.28	80021	21.40	48239	52.49	78015	 5.83	71087	39.54	91436	 6.31	36898	29.18	58956	 2.12	124357	54.34	64045	38.38	78527	 5.49	130974	19.41	44357	47.66	73535	 4.62	68234	53.02	102091	 3.44	65251	 5.18	132740	63.45	96781	22.63	95980	67.75	69699	41.68
